decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2013-01-02,TGLT11.SA,TGLT11,bdr,TGLT,DR2,BRTGLTBDR003,2013-01-02,13.99,7086548.0,1,6,525300,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,CZLT11.SA,CZLT11,bdr,COSAN LTD,DR3,BRCZLTBDR009,2013-01-02,36.4,6355806.433333334,60,106,38800,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,DAGB11.SA,DAGB11,bdr,DUFRY AG,DR3,BRDAGBBDR008,2013-01-02,274.97,5867199.642166666,60,20,749,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,WSON11.SA,WSON11,bdr,WILSON SONS,DR3,BRWSONBDR009,2013-01-02,33.0,1537440.6949152541,59,14,2500,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,GPIV11.SA,GPIV11,bdr,GP INVEST,DR3,BRGPIVBDR003,2013-01-02,5.18,962390.15,60,52,133100,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,AGEN11.SA,AGEN11,bdr,AGRENCO,DR3,BRAGENBDR001,2013-01-02,0.24,328561.7833333333,60,72,834900,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,WFCO11B.SA,WFCO11B,bdr,WELLS FARGO,DRN     MB,BRWFCOBDR009,2013-01-02,71.23,291814.9117647059,34,1,100,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,MSFT11B.SA,MSFT11B,bdr,MICROSOFT,DRN     MB,BRMSFTBDR005,2013-01-02,55.54,278659.24324324325,37,1,100,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,GOOG11B.SA,GOOG11B,bdr,GOOGLE,DRN     MB,BRGOOGBDR005,2013-01-02,59.3,228563.23684210525,38,1,2000,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,AAPL11B.SA,AAPL11B,bdr,APPLE,DRN     MB,BRAAPLBDR004,2013-01-02,112.0,185485.9375,16,1,400,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,CSCO11B.SA,CSCO11B,bdr,CISCO,DRN     MB,BRCSCOBDR004,2013-01-02,41.17,182850.91666666666,36,1,100,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,AVON11B.SA,AVON11B,bdr,AVON,DRN     MB,BRAVONBDR009,2013-01-02,15.35,181076.04166666666,24,1,100,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,MMMC11B.SA,MMMC11B,bdr,3M,DRN     MB,BRMMMCBDR000,2013-01-02,48.21,175162.83333333334,30,1,100,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,NIKE11B.SA,NIKE11B,bdr,NIKE,DRN EB  MB,BRNIKEBDR006,2013-01-02,108.54,103799.73333333334,15,4,3800,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
2013-01-02,MILK11.SA,MILK11,bdr,LAEP,DR3,BRMILKBDR003,2013-01-02,0.47,97053.65,60,25,66500,B3 COTAHIST official annual file; last trading session 2013-01-02; 60-session average traded value,2013
